stateabb1,stateabb2,year
JAM,SVG,1997
JAM,TRI,1997
JAM,URU,1997
JAM,USA,1997
JAM,VEN,1997
JOR,ALG,1997
JOR,BAH,1997
JOR,COM,1997
JOR,DJI,1997
JOR,IRQ,1997
JOR,KUW,1997
JOR,LEB,1997
JOR,LIB,1997
JOR,MOR,1997
JOR,OMA,1997
JOR,QAT,1997
JOR,SAU,1997
JOR,SOM,1997
JOR,SUD,1997
JOR,SYR,1997
JOR,TUN,1997
JOR,UAE,1997
JOR,YEM,1997
KEN,ETH,1997
KUW,ALG,1997
KUW,BAH,1997
KUW,COM,1997
KUW,DJI,1997
KUW,IRQ,1997
KUW,JOR,1997
KUW,LEB,1997
KUW,LIB,1997
KUW,MOR,1997
KUW,OMA,1997
KUW,QAT,1997
KUW,SAU,1997
KUW,SOM,1997
KUW,SUD,1997
KUW,SYR,1997
KUW,TUN,1997
KUW,UAE,1997
KUW,YEM,1997
KYR,ARM,1997
KYR,AZE,1997
KYR,BLR,1997
KYR,GRG,1997
KYR,KZK,1997
KYR,RUS,1997
KYR,TAJ,1997
KYR,UZB,1997
KZK,ARM,1997
KZK,AZE,1997
KZK,BLR,1997
KZK,GRG,1997
KZK,KYR,1997
KZK,RUS,1997
KZK,TAJ,1997
KZK,UZB,1997
LBR,BEN,1997
LBR,BFO,1997
LBR,CDI,1997
LBR,GAM,1997
LBR,GHA,1997
LBR,GNB,1997
LBR,GUI,1997
LBR,MAA,1997
LBR,NIG,1997
LBR,NIR,1997
LBR,SEN,1997
LBR,SIE,1997
LBR,TOG,1997
LEB,ALG,1997
LEB,BAH,1997
LEB,COM,1997
LEB,DJI,1997
LEB,IRQ,1997
LEB,JOR,1997
LEB,KUW,1997
LEB,LIB,1997
LEB,MOR,1997
LEB,OMA,1997
LEB,QAT,1997
LEB,SAU,1997
LEB,SOM,1997
LEB,SUD,1997
LEB,SYR,1997
LEB,TUN,1997
LEB,UAE,1997
LEB,YEM,1997
LIB,ALG,1997
LIB,BAH,1997
LIB,COM,1997
LIB,DJI,1997
LIB,IRQ,1997
LIB,JOR,1997
LIB,KUW,1997
LIB,LEB,1997
LIB,MAA,1997
LIB,MOR,1997
LIB,OMA,1997
LIB,QAT,1997
LIB,SAU,1997
LIB,SOM,1997
LIB,SUD,1997
LIB,SYR,1997
LIB,TUN,1997
LIB,UAE,1997
LIB,YEM,1997
LUX,BEL,1997
LUX,CAN,1997
LUX,CZR,1997
LUX,DEN,1997
LUX,FRN,1997
LUX,GMY,1997
LUX,GRC,1997
LUX,HUN,1997
LUX,ICE,1997
LUX,ITA,1997
LUX,NOR,1997
LUX,NTH,1997
LUX,POL,1997
LUX,POR,1997
LUX,SPN,1997
LUX,TUR,1997
LUX,UKG,1997
LUX,USA,1997
MAA,ALG,1997
MAA,BEN,1997
MAA,BFO,1997
MAA,CDI,1997
MAA,GAM,1997
MAA,GHA,1997
MAA,GNB,1997
MAA,GUI,1997
MAA,LBR,1997
MAA,LIB,1997
